id	filename	md5	size	state
1393ccf3-e19b-4989-8f52-0fae11d7105b	733c7efd-41a7-4aaa-a3ae-5af22b1726c5.FPKM.txt.gz	4c3a0ac200fe67976a8eaf5c96e4dff1	514818	validated
13de3beb-fcaf-432f-ab9b-09a8f4c40a16	6c8fc35f-d650-41fc-93ed-6e41dfa26680.FPKM.txt.gz	375481be20dc15d6ccf2e47e3e335a4b	511198	validated
14bbb716-ac69-4d72-9d06-af2cd534f700	0e1cf74b-1047-4a72-8195-34b05acb685b.FPKM.txt.gz	79d757cf23a9981f74ce871eacea841d	520544	validated
160bbf2e-df52-4630-8334-8002b38a5879	2af970d1-952d-4ea2-8b9d-a07acce0764a.FPKM.txt.gz	73b52b68cb8b27d488138ba847e67676	532139	validated
1619cfe1-6b3e-4921-bbcc-e354ece7010e	e4a73649-9b1b-48d2-a3dd-0f3a511179f3.FPKM.txt.gz	9c77d8e4f4cdba0673f99b3438747cba	520579	validated
185d46b0-8e15-4015-bbf7-2a16e264f5fd	e42a9258-1310-4b53-9b75-fca2d22ec01c.FPKM.txt.gz	d06dce07d30f10c8a69ea34170f7d9b3	541941	validated
18cdc990-b79b-4d4b-8fa2-614512145aa6	d31a0c1d-efd6-4500-a4ed-172317058add.FPKM.txt.gz	62aad1bee18dc4d1cc599b285368cc18	523445	validated
18ea9ed8-1e00-43ec-bcfc-66196544dbe0	d280ace6-6dc3-4c19-83c1-772a9b61eee9.FPKM.txt.gz	aa73b23f60b46c1ffaad10c470025072	495222	validated
19365485-c4e6-41d9-a944-1ca228b9b9c6	6e23a648-ea59-47a1-84de-aea7d17f6ae1.FPKM.txt.gz	fb10b7e25af0db6a8415cff676c5d23b	514702	validated
1981fa11-85cf-45a0-bb5b-052d565a5a12	6217647b-e45f-483b-95b4-58d97a96cae6.FPKM.txt.gz	9b6690cc93af7eb4d2c2e5b3b79006f8	525752	validated
